"zn","indus","chas","nox","rm","age","dis","rad","tax","ptratio","black","lstat","medv","target"
"1",6.41,0,0.447,6.854,"0",4.2673,4,254,17.6,1.26,2.98,32,0
"0",10.59,0,0.489,6.182,"0",3.9454,4,277,18.6,1.26,9.47,25,0
"0",10.59,1,0.489,6.064,"0",4.2392,4,277,18.6,1.25,14.66,24.4,0
"0",9.69,0,0.585,5.67,"0",2.7986,6,391,19.2,1.26,17.6,23.1,0
"0",9.9,0,0.544,6.635,"1",3.3175,4,304,18.4,1.26,4.54,22.8,1
"1",2.18,0,0.472,7.236,"0",4.022,7,222,18.4,1.26,6.93,36.1,0
"0",21.89,0,0.624,6.431,"1",1.8125,4,437,21.2,1.26,15.39,18,1
"0",18.1,0,0.713,6.081,"1",2.7175,24,666,20.2,1.26,14.7,20,1
"1",4.93,0,0.428,6.897,"0",6.3361,6,300,16.6,1.26,11.38,22,0
"1",6.96,0,0.464,6.538,"0",3.9175,3,223,18.6,1.26,7.73,24.4,0
"0",10.59,0,0.489,5.891,"0",3.9454,4,277,18.6,1.26,10.87,22.6,0
"0",18.1,0,0.693,6.193,"1",1.7912,24,666,20.2,1.26,15.17,13.8,1
"0",4.05,0,0.51,6.315,"0",3.3175,5,296,16.6,1.26,6.29,24.6,0
"0",4.49,0,0.449,6.389,"0",4.7794,3,247,18.5,1.26,9.62,23.9,0
"0",21.89,0,0.624,6.372,"1",2.3274,4,437,21.2,1.25,11.12,23,1
"0",10.01,0,0.547,6.021,"1",2.7474,6,432,17.8,1.26,10.3,19.2,0
"1",1.25,0,0.429,6.939,"0",8.7921,1,335,19.7,1.25,5.89,26.6,0
"0",2.46,0,0.488,6.144,"0",2.5979,3,193,17.8,1.26,9.45,36.2,0
"0",7.38,0,0.493,6.426,"0",4.5404,5,287,19.6,1.26,7.2,23.8,0
"0",18.1,0,0.693,6.343,"1",1.5741,24,666,20.2,1.26,20.32,7.2,1
"0",6.2,1,0.507,6.879,"0",3.2721,8,307,17.4,1.25,9.93,27.5,1
"1",3.97,0,0.647,7.52,"1",2.1398,5,264,13,1.25,7.26,43.1,1
"0",18.1,0,0.597,6.852,"1",1.4655,24,666,20.2,1.05,19.78,27.5,1
"1",4.93,0,0.428,6.095,"0",6.3361,6,300,16.6,1.26,12.4,20.1,0
"0",9.9,0,0.544,6.113,"0",4.0019,4,304,18.4,1.26,12.73,21,1
"0",13.92,0,0.437,6.127,"0",5.5027,4,289,16,1.26,8.58,23.9,0
"1",2.95,0,0.428,7.024,"0",5.4011,3,252,18.3,1.26,1.98,34.9,0
"1",1.52,0,0.404,7.107,"0",7.309,2,329,12.6,1.23,8.61,30.3,0
"0",8.14,0,0.538,6.096,"1",3.7598,4,307,21,1.13,20.34,13.5,1
"1",5.86,0,0.431,5.605,"0",7.9549,7,330,19.1,1.25,18.46,18.5,0
"0",18.1,0,0.713,6.749,"1",2.3236,24,666,20.2,0.65,17.44,13.4,1
"1",7.87,0,0.524,6.377,"1",6.3467,5,311,15.2,1.26,20.45,15,0
"0",8.14,0,0.538,6.142,"1",3.9769,4,307,21,1.26,18.72,15.2,1
"1",6.06,0,0.4379,6.031,"0",6.6407,1,304,16.9,1.23,7.83,19.4,0
"0",18.1,0,0.693,5.349,"1",1.7028,24,666,20.2,1.26,19.77,8.3,1
"0",18.1,0,0.58,6.437,"0",2.8965,24,666,20.2,1.26,14.36,23.2,1
"1",3.64,0,0.392,6.108,"0",9.2203,1,315,16.4,1.26,6.57,21.9,0
"1",6.96,0,0.464,5.856,"0",4.429,3,223,18.6,1.25,13,21.1,1
"0",12.83,0,0.437,6.14,"0",4.0905,5,398,18.7,1.25,10.27,20.8,0
"0",9.9,0,0.544,6.567,"1",3.6023,4,304,18.4,1.26,9.28,23.8,1
"0",19.58,0,0.871,6.51,"1",1.7659,5,403,14.7,1.23,7.39,23.3,1
"0",2.46,0,0.488,7.765,"1",2.741,3,193,17.8,1.26,7.56,39.8,0
"1",0.46,0,0.422,7.875,"0",5.6484,4,255,14.4,1.26,2.97,50,0
"0",18.1,0,0.631,3.863,"1",1.5106,24,666,20.2,0.99,13.33,23.1,1
"1",5.64,0,0.439,6.511,"0",6.8147,4,243,16.8,1.26,5.28,25,0
"0",8.14,0,0.538,5.599,"1",4.4546,4,307,21,1.18,16.51,13.9,1
"0",18.1,0,0.693,5.683,"1",1.4254,24,666,20.2,1.25,22.98,5,1
"0",2.18,0,0.458,7.147,"0",6.0622,3,222,18.7,1.26,5.33,36.2,0
"1",5.64,0,0.439,6.115,"0",6.8147,4,243,16.8,1.26,9.43,20.5,0
"1",6.96,1,0.464,5.92,"0",3.9175,3,223,18.6,1.26,13.65,20.7,0
"1",2.68,0,0.4161,7.853,"0",5.118,4,224,14.7,1.26,3.81,48.5,0
"1",7.87,0,0.524,6.012,"0",5.5605,5,311,15.2,1.26,12.43,22.9,0
"0",25.65,0,0.581,5.961,"1",2.0869,2,188,19.1,1.24,17.93,20.5,0
"0",10.59,1,0.489,5.404,"1",3.665,4,277,18.6,1.26,23.98,19.3,1
"0",8.56,0,0.52,6.137,"1",2.7147,5,384,20.9,1.26,13.44,19.3,0
"1",2.18,0,0.472,6.849,"0",3.1827,7,222,18.4,1.26,7.53,28.2,0
"0",10.01,0,0.547,5.731,"0",2.7592,6,432,17.8,1.26,13.61,19.3,0
"1",3.97,0,0.647,6.842,"1",2.0107,5,264,13,1.26,6.9,30.1,1
"0",18.1,0,0.584,5.427,"1",2.4298,24,666,20.2,1.22,18.14,13.8,1
"1",15.04,0,0.464,6.249,"0",3.615,4,270,18.2,1.26,10.59,20.6,0
"0",6.91,0,0.448,5.399,"1",5.87,3,233,17.9,1.26,30.81,14.4,0
"1",4.15,0,0.429,6.516,"0",8.5353,4,351,17.9,1.26,6.36,23.1,0
"0",8.56,0,0.52,6.127,"1",2.1224,5,384,20.9,1.25,14.09,20.4,0
"0",3.41,0,0.489,6.405,"0",3.0921,2,270,17.8,1.26,8.2,22,0
"0",18.1,0,0.77,5.362,"1",2.1036,24,666,20.2,1.25,10.19,20.8,1
"0",10.59,0,0.489,5.783,"0",4.3549,4,277,18.6,1.25,18.06,22.5,0
"0",9.69,0,0.585,6.027,"0",2.4982,6,391,19.2,1.26,14.33,16.8,0
"0",18.1,0,0.679,6.434,"1",1.8347,24,666,20.2,0.8,29.05,7.2,1
"0",21.89,0,0.624,6.458,"1",2.1185,4,437,21.2,1.26,12.6,19.2,1
"0",10.01,0,0.547,5.872,"0",2.4775,6,432,17.8,1.21,15.37,20.4,0
"0",18.1,0,0.614,6.103,"1",2.0218,24,666,20.2,0.68,23.29,13.4,1
"1",5.64,0,0.439,5.998,"0",6.8147,4,243,16.8,1.26,8.43,23.4,0
"0",18.1,0,0.614,5.648,"1",1.9512,24,666,20.2,1.17,14.1,20.8,1
"1",5.86,0,0.431,5.593,"0",7.9549,7,330,19.1,1.24,12.5,17.6,0
"0",18.1,0,0.7,5.52,"1",1.5331,24,666,20.2,1.26,24.56,12.3,1
"0",18.1,0,0.713,6.728,"1",2.4961,24,666,20.2,0.71,18.71,14.9,1
"0",18.1,0,0.7,5.713,"1",1.9265,24,666,20.2,1.26,17.11,15.1,1
"1",5.32,0,0.405,6.565,"0",7.3172,6,293,16.6,1.24,9.51,24.8,0
"0",18.1,0,0.7,4.652,"1",1.4672,24,666,20.2,1.26,28.28,10.5,1
"1",6.09,0,0.433,6.59,"0",5.4917,7,329,16.1,1.26,9.5,22,0
"0",10.59,0,0.489,6.375,"0",3.9454,4,277,18.6,1.25,9.38,28.1,0
"0",6.2,0,0.504,7.686,"0",3.3751,8,307,17.4,1.24,3.92,46.7,1
"0",12.83,0,0.437,6.279,"0",4.0522,5,398,18.7,1.24,11.97,20,0
"0",18.1,0,0.693,5.887,"1",1.7821,24,666,20.2,1.26,16.35,12.7,1
"0",18.1,0,0.671,6.223,"1",1.3861,24,666,20.2,1.26,21.78,10.2,1
"0",18.1,1,0.77,6.127,"1",2.7227,24,666,20.2,1.26,11.48,22.7,1
"0",18.1,0,0.58,6.167,"1",3.0334,24,666,20.2,1.26,16.29,19.9,1
"0",27.74,0,0.609,5.983,"1",1.8681,4,711,20.1,1.25,18.07,13.6,0
"0",4.39,0,0.442,6.014,"0",8.0136,3,352,18.8,1.25,10.53,17.5,0
"0",6.2,1,0.507,6.164,"1",3.048,8,307,17.4,1.26,21.46,21.7,1
"0",10.81,0,0.413,6.417,"0",5.2873,4,305,19.2,1.25,6.72,24.2,0
"0",4.05,0,0.51,6.86,"0",2.9153,5,296,16.6,1.26,6.92,29.9,0
"0",18.1,0,0.713,6.185,"1",2.2616,24,666,20.2,1.26,18.13,14.1,1
"0",6.91,0,0.448,5.602,"0",6.0877,3,233,17.9,1.26,16.2,19.4,0
"0",18.1,1,0.631,6.683,"1",1.3567,24,666,20.2,1.24,3.73,50,1
"1",2.02,0,0.41,6.728,"0",12.1265,5,187,17,1.25,4.5,30.1,0
"0",13.92,0,0.437,6.009,"0",5.5027,4,289,16,1.26,10.4,21.7,0
"0",18.1,0,0.693,6.404,"1",1.639,24,666,20.2,1.24,20.31,12.1,1
"0",18.1,0,0.583,5.905,"0",3.1523,24,666,20.2,1.25,11.45,20.6,1
"0",19.58,1,0.871,6.152,"1",1.7455,5,403,14.7,0.93,15.02,15.6,1
"0",18.1,0,0.58,5.926,"0",2.9084,24,666,20.2,1.24,18.13,19.1,1
"1",3.44,0,0.437,6.739,"0",6.4798,5,398,15.2,1.25,4.69,30.5,0
"0",18.1,0,0.583,5.871,"0",3.724,24,666,20.2,1.24,13.34,20.6,1
"0",12.83,0,0.437,6.273,"0",4.2515,5,398,18.7,1.26,6.78,24.1,0
"0",18.1,0,0.584,6.833,"1",2.0882,24,666,20.2,0.92,19.69,14.1,1
"0",4.05,0,0.51,6.416,"1",2.6463,5,296,16.6,1.26,9.04,23.6,0
"1",3.44,0,0.437,7.178,"0",6.4798,5,398,15.2,1.25,2.87,36.4,0
"1",0.74,0,0.41,6.383,"0",9.1876,2,313,17.3,1.26,5.77,24.7,0
"0",18.1,0,0.584,5.565,"0",2.0635,24,666,20.2,0.69,17.16,11.7,1
"0",8.56,0,0.52,6.195,"0",2.7778,5,384,20.9,1.26,13,21.7,0
"0",9.9,0,0.544,5.705,"0",3.945,4,304,18.4,1.26,11.5,16.2,0
"0",6.91,0,0.448,5.786,"0",5.1004,3,233,17.9,1.26,14.15,20,0
"1",5.86,0,0.431,6.433,"0",7.8265,7,330,19.1,1.24,9.52,24.5,0
"0",11.93,0,0.573,6.12,"0",2.2875,1,273,21,1.26,9.08,20.6,0
"0",8.56,0,0.52,5.851,"1",2.1069,5,384,20.9,1.26,16.47,19.5,0
"1",2.24,0,0.4,6.871,"0",7.8278,5,358,14.8,1.26,6.07,24.8,0
"1",15.04,0,0.464,6.442,"0",3.6659,4,270,18.2,1.26,8.16,22.9,0
"0",10.01,0,0.547,6.092,"1",2.548,6,432,17.8,1.26,17.09,18.7,0
"0",19.58,0,0.605,6.066,"1",1.7573,5,403,14.7,1.22,6.43,24.3,1
"0",2.46,0,0.488,6.98,"0",2.829,3,193,17.8,1.26,5.04,37.2,0
"1",1.69,0,0.411,5.884,"0",10.7103,4,411,18.3,1.26,7.79,18.6,0
"0",19.58,1,0.605,6.25,"1",1.7984,5,403,14.7,1.21,5.5,27,1
"0",19.58,0,0.605,7.489,"1",1.9709,5,403,14.7,1.24,1.73,50,1
"0",8.14,0,0.538,5.57,"1",3.7979,4,307,21,1.24,21.02,13.6,1
"0",8.14,0,0.538,5.701,"1",3.7872,4,307,21,1.23,18.35,13.1,1
"1",5.13,0,0.453,5.927,"0",6.932,8,284,19.7,1.26,9.22,19.6,0
"0",19.58,0,0.871,5.404,"1",1.5916,5,403,14.7,1.21,13.28,19.6,1
"0",19.58,1,0.871,6.129,"1",1.7494,5,403,14.7,1.2,15.12,17,1
"0",18.1,0,0.671,7.313,"1",1.3163,24,666,20.2,1.26,13.44,15,1
"0",18.1,0,0.713,6.655,"1",2.3552,24,666,20.2,1.23,17.73,15.2,1
"1",1.38,0,0.4161,7.104,"0",9.2229,3,216,18.6,1.26,8.05,33,0
"1",1.52,0,0.404,7.287,"0",7.309,2,329,12.6,1.26,4.08,33.3,0
"0",9.69,0,0.585,6.019,"0",2.4091,6,391,19.2,1.26,12.92,21.2,0
"0",5.96,0,0.499,5.966,"0",3.8473,5,279,19.2,1.26,10.13,24.7,0
"1",3.44,0,0.437,7.185,"0",4.5667,5,398,15.2,1.26,5.39,34.9,0
"0",8.14,0,0.538,6.047,"1",4.4534,4,307,21,1.18,17.28,14.8,1
"1",3.44,0,0.437,6.556,"0",4.5667,5,398,15.2,1.25,4.56,29.8,0
"0",18.1,0,0.693,5.852,"0",1.5004,24,666,20.2,1.21,29.97,6.3,1
"1",2.68,0,0.4161,8.034,"0",5.118,4,224,14.7,1.25,2.88,50,0
"0",8.14,0,0.538,5.456,"0",3.7965,4,307,21,1.17,11.69,20.2,1
"0",13.92,0,0.437,6.678,"0",5.9604,4,289,16,1.26,6.27,28.6,0
"0",18.1,0,0.713,6.701,"1",2.5975,24,666,20.2,1.14,16.42,16.4,1
"0",18.1,0,0.532,5.762,"0",4.0983,24,666,20.2,1.26,10.42,21.8,1
"1",1.52,0,0.404,7.274,"0",7.309,2,329,12.6,1.26,6.62,34.6,0
"0",3.41,0,0.489,6.417,"0",3.0923,2,270,17.8,1.26,8.81,22.6,0
"1",4.95,0,0.411,7.148,"0",5.1167,4,245,19.2,1.26,3.56,37.3,0
"0",18.1,0,0.597,5.617,"1",1.4547,24,666,20.2,1.19,26.4,17.2,1
"1",2.93,0,0.401,6.8,"0",6.2196,1,265,15.6,1.26,5.03,31.1,0
"0",18.1,0,0.74,6.341,"1",2.072,24,666,20.2,1.19,17.79,14.9,1
"0",18.1,0,0.614,6.98,"0",2.5329,24,666,20.2,1.24,11.66,29.8,1
"0",18.1,0,0.668,4.906,"1",1.1742,24,666,20.2,1.26,34.77,13.8,1
"0",8.14,0,0.538,5.965,"1",4.0123,4,307,21,1.26,13.83,19.6,1
"1",2.18,0,0.472,7.42,"0",3.0992,7,222,18.4,1.26,6.47,33.4,0
"0",18.1,0,0.693,5.531,"1",1.6074,24,666,20.2,1.2,27.38,8.5,1
"0",8.14,0,0.538,5.924,"1",4.3996,4,307,21,1.26,16.3,15.6,1
"1",4.86,0,0.426,6.619,"0",5.4007,4,281,19,1.26,7.22,23.9,0
"0",10.59,0,0.489,5.412,"0",3.5875,4,277,18.6,1.22,29.55,23.7,1
"1",7.87,0,0.524,6.172,"1",5.9505,5,311,15.2,1.26,19.15,27.1,0
"0",18.1,1,0.668,5.875,"1",1.1296,24,666,20.2,1.22,8.88,50,1
"0",6.2,0,0.507,6.086,"0",3.6519,8,307,17.4,1.24,10.88,24,1
"0",18.1,0,0.713,5.936,"1",2.7792,24,666,20.2,0.69,16.94,13.5,1
"0",18.1,0,0.713,6.208,"1",2.2222,24,666,20.2,0.95,15.17,11.7,1
"0",18.1,0,0.679,6.193,"0",1.9356,24,666,20.2,0.94,21.52,11,1
"0",18.1,0,0.584,6.425,"0",2.2004,24,666,20.2,0.94,12.03,16.1,1
"0",12.83,0,0.437,6.232,"0",5.0141,5,398,18.7,1.25,12.34,21.2,0
"0",18.1,0,0.7,5.036,"1",1.77,24,666,20.2,1.26,25.68,9.7,1
